"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.056,-0.0360496972305228,-0.073377636659094,NA,NA,NA,NA,NA,NA,"ZSB"
1.056,-0.0408341569877693,-0.0689394767488765,-0.0172536844971308,-0.0928705726632133,0.641779764277346,0.623896103811267,0.692835580560143,0.682613921265116,"DVDS"
1.057,-0.0357275602682049,-0.0737036939674734,NA,NA,NA,NA,NA,NA,"ZSB"
1.057,-0.0405873336271197,-0.0692063933213331,-0.0170093780418385,-0.0931404609068308,0.641935095766187,0.623716488097205,0.692922881418538,0.682522429393306,"DVDS"
1.058,-0.035405767519652,-0.0740294704514963,NA,NA,NA,NA,NA,NA,"ZSB"
1.058,-0.0403276820453601,-0.0694508858982476,-0.016752748250953,-0.0933885912206415,0.642103307220442,0.623557826328283,0.69300871222653,0.682430989265802,"DVDS"
1.059,-0.0350843183916139,-0.074354966504854,NA,NA,NA,NA,NA,NA,"ZSB"
1.059,-0.0400831328527003,-0.0697274059671277,-0.0165111393759436,-0.0936667584106355,0.642256470050505,0.62339925408137,0.693126660048497,0.682339602903206,"DVDS"
1.06,-0.0347632122921778,-0.0746801825203531,NA,NA,NA,NA,NA,NA,"ZSB"
1.06,-0.0398381277782735,-0.0699781241335112,-0.0162686810791071,-0.0939210110248729,0.642410138515873,0.623240775231262,0.693218899364773,0.682248266294147,"DVDS"
1.061,-0.0344424486307599,-0.0750051188899239,NA,NA,NA,NA,NA,NA,"ZSB"
1.061,-0.039674099175483,-0.0702620523464203,-0.0161166402419183,-0.0942059617786017,0.642484801319558,0.623042935688408,0.693304988034828,0.682158900495041,"DVDS"
1.062,-0.0341220268181095,-0.0753297760046239,NA,NA,NA,NA,NA,NA,"ZSB"
1.062,-0.0394217241611454,-0.070519371039056,-0.0158670524001596,-0.0944665725380421,0.642635129605473,0.622884014686539,0.693403385725594,0.682056853766619,"DVDS"
1.063,-0.0338019462663,-0.0756541542546379,NA,NA,NA,NA,NA,NA,"ZSB"
1.063,-0.0391633285852131,-0.0707609240313387,-0.0156123315146987,-0.0947117150201709,0.642805011111717,0.622728505764628,0.693489429795967,0.68196833969693,"DVDS"
1.064,-0.0334822063887278,-0.0759782540292815,NA,NA,NA,NA,NA,NA,"ZSB"
1.064,-0.0389218858585805,-0.0710347197530647,-0.0153733905680632,-0.0949876429227718,0.642955232906405,0.622540633021365,0.693575352774429,0.681877118764986,"DVDS"
1.065,-0.0331628066001056,-0.0763020757170076,NA,NA,NA,NA,NA,NA,"ZSB"
1.065,-0.0386730087080654,-0.0713029526931167,-0.0151272583527377,-0.0952581111766552,0.643112940868982,0.622358201035464,0.693661153728581,0.681785949577047,"DVDS"
1.066,-0.0328437463164629,-0.0766256197054043,NA,NA,NA,NA,NA,NA,"ZSB"
1.066,-0.0384562511382152,-0.0715438814102933,-0.0149137235050772,-0.0955026344603914,0.643240805884343,0.622202954660545,0.693746836070839,0.681697057022559,"DVDS"
1.067,-0.0325250249551406,-0.0769488863812006,NA,NA,NA,NA,NA,NA,"ZSB"
1.067,-0.0382158363284474,-0.0718008943445495,-0.0146757536609087,-0.0957630122455936,0.643390190738785,0.622031505790145,0.693832400134694,0.681606027067232,"DVDS"
1.068,-0.0322066419347884,-0.0772718761302703,NA,NA,NA,NA,NA,NA,"ZSB"
1.068,-0.037971996014606,-0.0720455785720768,-0.014434422498999,-0.0960113928819363,0.643543654763842,0.621872267680314,0.693917846252391,0.681515650778448,"DVDS"
1.069,-0.0318885966753572,-0.0775945893376318,NA,NA,NA,NA,NA,NA,"ZSB"
1.069,-0.0377320429141405,-0.0722900468344665,-0.014196867243589,-0.0962595764518123,0.643692697786776,0.621713127920461,0.694003174754927,0.681424740700917,"DVDS"
1.07,-0.0315708885981019,-0.077917026387453,NA,NA,NA,NA,NA,NA,"ZSB"
1.07,-0.037492338343004,-0.0725252665452342,-0.0139595365624854,-0.096497904423472,0.643841544652546,0.621554085654474,0.694079352199708,0.68133388299555,"DVDS"
1.071,-0.031253517125574,-0.0782391876630558,NA,NA,NA,NA,NA,NA,"ZSB"
1.071,-0.0372548643260509,-0.0727691791582975,-0.0137244557427553,-0.0967455611655098,0.643990195350856,0.621395136796579,0.694164315954876,0.681245059676907,"DVDS"
1.072,-0.030936481681619,-0.0785610735469129,NA,NA,NA,NA,NA,NA,"ZSB"
